Metric,Value,mtry,ntree,nodesize,run
MAE,0.13,14,100,3,1
RMSE,0.2,14,100,3,1
MAE_PctOfMean,2.42,14,100,3,1
RMSE_PctOfMean,3.56,14,100,3,1
MAPE,2.83,14,100,3,1
Adj_R2,95.94,14,100,3,1
MeanActual,5.56,14,100,3,1
MeanPredicted,5.57,14,100,3,1
StDevActual,1.1,14,100,3,1
StDevPredicted,1.06,14,100,3,1
N_Obs,141,14,100,3,1
N_Params,27,14,100,3,1
MAE,0.13,14,100,3,2
RMSE,0.19,14,100,3,2
MAE_PctOfMean,2.43,14,100,3,2
RMSE_PctOfMean,3.34,14,100,3,2
MAPE,2.77,14,100,3,2
Adj_R2,96.43,14,100,3,2
MeanActual,5.56,14,100,3,2
MeanPredicted,5.56,14,100,3,2
StDevActual,1.1,14,100,3,2
StDevPredicted,1.06,14,100,3,2
N_Obs,141,14,100,3,2
N_Params,27,14,100,3,2
MAE,0.14,14,100,3,3
RMSE,0.2,14,100,3,3
MAE_PctOfMean,2.53,14,100,3,3
RMSE_PctOfMean,3.61,14,100,3,3
MAPE,2.92,14,100,3,3
Adj_R2,95.83,14,100,3,3
MeanActual,5.56,14,100,3,3
MeanPredicted,5.56,14,100,3,3
StDevActual,1.1,14,100,3,3
StDevPredicted,1.06,14,100,3,3
N_Obs,141,14,100,3,3
N_Params,27,14,100,3,3
MAE,0.14,14,100,3,4
RMSE,0.2,14,100,3,4
MAE_PctOfMean,2.47,14,100,3,4
RMSE_PctOfMean,3.55,14,100,3,4
MAPE,2.85,14,100,3,4
Adj_R2,95.96,14,100,3,4
MeanActual,5.56,14,100,3,4
MeanPredicted,5.56,14,100,3,4
StDevActual,1.1,14,100,3,4
StDevPredicted,1.06,14,100,3,4
N_Obs,141,14,100,3,4
N_Params,27,14,100,3,4
MAE,0.14,14,100,3,5
RMSE,0.2,14,100,3,5
MAE_PctOfMean,2.55,14,100,3,5
RMSE_PctOfMean,3.63,14,100,3,5
MAPE,2.96,14,100,3,5
Adj_R2,95.78,14,100,3,5
MeanActual,5.56,14,100,3,5
MeanPredicted,5.55,14,100,3,5
StDevActual,1.1,14,100,3,5
StDevPredicted,1.06,14,100,3,5
N_Obs,141,14,100,3,5
N_Params,27,14,100,3,5
MAE,0.14,9,100,3,1
RMSE,0.19,9,100,3,1
MAE_PctOfMean,2.47,9,100,3,1
RMSE_PctOfMean,3.5,9,100,3,1
MAPE,2.87,9,100,3,1
Adj_R2,96.09,9,100,3,1
MeanActual,5.56,9,100,3,1
MeanPredicted,5.56,9,100,3,1
StDevActual,1.1,9,100,3,1
StDevPredicted,1.05,9,100,3,1
N_Obs,141,9,100,3,1
N_Params,27,9,100,3,1
MAE,0.13,9,100,3,2
RMSE,0.2,9,100,3,2
MAE_PctOfMean,2.41,9,100,3,2
RMSE_PctOfMean,3.51,9,100,3,2
MAPE,2.8,9,100,3,2
Adj_R2,96.06,9,100,3,2
MeanActual,5.56,9,100,3,2
MeanPredicted,5.56,9,100,3,2
StDevActual,1.1,9,100,3,2
StDevPredicted,1.05,9,100,3,2
N_Obs,141,9,100,3,2
N_Params,27,9,100,3,2
MAE,0.14,9,100,3,3
RMSE,0.2,9,100,3,3
MAE_PctOfMean,2.57,9,100,3,3
RMSE_PctOfMean,3.52,9,100,3,3
MAPE,2.92,9,100,3,3
Adj_R2,96.03,9,100,3,3
MeanActual,5.56,9,100,3,3
MeanPredicted,5.56,9,100,3,3
StDevActual,1.1,9,100,3,3
StDevPredicted,1.06,9,100,3,3
N_Obs,141,9,100,3,3
N_Params,27,9,100,3,3
MAE,0.13,9,100,3,4
RMSE,0.19,9,100,3,4
MAE_PctOfMean,2.34,9,100,3,4
RMSE_PctOfMean,3.44,9,100,3,4
MAPE,2.73,9,100,3,4
Adj_R2,96.21,9,100,3,4
MeanActual,5.56,9,100,3,4
MeanPredicted,5.56,9,100,3,4
StDevActual,1.1,9,100,3,4
StDevPredicted,1.05,9,100,3,4
N_Obs,141,9,100,3,4
N_Params,27,9,100,3,4
MAE,0.13,9,100,3,5
RMSE,0.18,9,100,3,5
MAE_PctOfMean,2.29,9,100,3,5
RMSE_PctOfMean,3.18,9,100,3,5
MAPE,2.64,9,100,3,5
Adj_R2,96.76,9,100,3,5
MeanActual,5.56,9,100,3,5
MeanPredicted,5.56,9,100,3,5
StDevActual,1.1,9,100,3,5
StDevPredicted,1.06,9,100,3,5
N_Obs,141,9,100,3,5
N_Params,27,9,100,3,5
MAE,0.13,7,100,3,1
RMSE,0.19,7,100,3,1
MAE_PctOfMean,2.41,7,100,3,1
RMSE_PctOfMean,3.4,7,100,3,1
MAPE,2.78,7,100,3,1
Adj_R2,96.29,7,100,3,1
MeanActual,5.56,7,100,3,1
MeanPredicted,5.55,7,100,3,1
StDevActual,1.1,7,100,3,1
StDevPredicted,1.05,7,100,3,1
N_Obs,141,7,100,3,1
N_Params,27,7,100,3,1
MAE,0.14,7,100,3,2
RMSE,0.2,7,100,3,2
MAE_PctOfMean,2.45,7,100,3,2
RMSE_PctOfMean,3.53,7,100,3,2
MAPE,2.82,7,100,3,2
Adj_R2,96,7,100,3,2
MeanActual,5.56,7,100,3,2
MeanPredicted,5.55,7,100,3,2
StDevActual,1.1,7,100,3,2
StDevPredicted,1.06,7,100,3,2
N_Obs,141,7,100,3,2
N_Params,27,7,100,3,2
MAE,0.13,7,100,3,3
RMSE,0.18,7,100,3,3
MAE_PctOfMean,2.35,7,100,3,3
RMSE_PctOfMean,3.32,7,100,3,3
MAPE,2.71,7,100,3,3
Adj_R2,96.48,7,100,3,3
MeanActual,5.56,7,100,3,3
MeanPredicted,5.56,7,100,3,3
StDevActual,1.1,7,100,3,3
StDevPredicted,1.05,7,100,3,3
N_Obs,141,7,100,3,3
N_Params,27,7,100,3,3
MAE,0.14,7,100,3,4
RMSE,0.19,7,100,3,4
MAE_PctOfMean,2.47,7,100,3,4
RMSE_PctOfMean,3.49,7,100,3,4
MAPE,2.87,7,100,3,4
Adj_R2,96.1,7,100,3,4
MeanActual,5.56,7,100,3,4
MeanPredicted,5.55,7,100,3,4
StDevActual,1.1,7,100,3,4
StDevPredicted,1.05,7,100,3,4
N_Obs,141,7,100,3,4
N_Params,27,7,100,3,4
MAE,0.14,7,100,3,5
RMSE,0.2,7,100,3,5
MAE_PctOfMean,2.51,7,100,3,5
RMSE_PctOfMean,3.54,7,100,3,5
MAPE,2.93,7,100,3,5
Adj_R2,95.99,7,100,3,5
MeanActual,5.56,7,100,3,5
MeanPredicted,5.56,7,100,3,5
StDevActual,1.1,7,100,3,5
StDevPredicted,1.05,7,100,3,5
N_Obs,141,7,100,3,5
N_Params,27,7,100,3,5
MAE,0.14,5,100,3,1
RMSE,0.19,5,100,3,1
MAE_PctOfMean,2.51,5,100,3,1
RMSE_PctOfMean,3.51,5,100,3,1
MAPE,2.87,5,100,3,1
Adj_R2,96.06,5,100,3,1
MeanActual,5.56,5,100,3,1
MeanPredicted,5.54,5,100,3,1
StDevActual,1.1,5,100,3,1
StDevPredicted,1.05,5,100,3,1
N_Obs,141,5,100,3,1
N_Params,27,5,100,3,1
MAE,0.14,5,100,3,2
RMSE,0.19,5,100,3,2
MAE_PctOfMean,2.46,5,100,3,2
RMSE_PctOfMean,3.48,5,100,3,2
MAPE,2.84,5,100,3,2
Adj_R2,96.12,5,100,3,2
MeanActual,5.56,5,100,3,2
MeanPredicted,5.54,5,100,3,2
StDevActual,1.1,5,100,3,2
StDevPredicted,1.04,5,100,3,2
N_Obs,141,5,100,3,2
N_Params,27,5,100,3,2
MAE,0.14,5,100,3,3
RMSE,0.2,5,100,3,3
MAE_PctOfMean,2.55,5,100,3,3
RMSE_PctOfMean,3.53,5,100,3,3
MAPE,2.95,5,100,3,3
Adj_R2,96,5,100,3,3
MeanActual,5.56,5,100,3,3
MeanPredicted,5.55,5,100,3,3
StDevActual,1.1,5,100,3,3
StDevPredicted,1.04,5,100,3,3
N_Obs,141,5,100,3,3
N_Params,27,5,100,3,3
MAE,0.13,5,100,3,4
RMSE,0.19,5,100,3,4
MAE_PctOfMean,2.4,5,100,3,4
RMSE_PctOfMean,3.34,5,100,3,4
MAPE,2.79,5,100,3,4
Adj_R2,96.43,5,100,3,4
MeanActual,5.56,5,100,3,4
MeanPredicted,5.55,5,100,3,4
StDevActual,1.1,5,100,3,4
StDevPredicted,1.04,5,100,3,4
N_Obs,141,5,100,3,4
N_Params,27,5,100,3,4
MAE,0.14,5,100,3,5
RMSE,0.2,5,100,3,5
MAE_PctOfMean,2.51,5,100,3,5
RMSE_PctOfMean,3.6,5,100,3,5
MAPE,2.92,5,100,3,5
Adj_R2,95.85,5,100,3,5
MeanActual,5.56,5,100,3,5
MeanPredicted,5.55,5,100,3,5
StDevActual,1.1,5,100,3,5
StDevPredicted,1.04,5,100,3,5
N_Obs,141,5,100,3,5
N_Params,27,5,100,3,5
MAE,0.14,4,100,3,1
RMSE,0.2,4,100,3,1
MAE_PctOfMean,2.52,4,100,3,1
RMSE_PctOfMean,3.54,4,100,3,1
MAPE,2.91,4,100,3,1
Adj_R2,95.99,4,100,3,1
MeanActual,5.56,4,100,3,1
MeanPredicted,5.55,4,100,3,1
StDevActual,1.1,4,100,3,1
StDevPredicted,1.04,4,100,3,1
N_Obs,141,4,100,3,1
N_Params,27,4,100,3,1
MAE,0.14,4,100,3,2
RMSE,0.2,4,100,3,2
MAE_PctOfMean,2.5,4,100,3,2
RMSE_PctOfMean,3.58,4,100,3,2
MAPE,2.94,4,100,3,2
Adj_R2,95.89,4,100,3,2
MeanActual,5.56,4,100,3,2
MeanPredicted,5.55,4,100,3,2
StDevActual,1.1,4,100,3,2
StDevPredicted,1.04,4,100,3,2
N_Obs,141,4,100,3,2
N_Params,27,4,100,3,2
MAE,0.14,4,100,3,3
RMSE,0.19,4,100,3,3
MAE_PctOfMean,2.43,4,100,3,3
RMSE_PctOfMean,3.49,4,100,3,3
MAPE,2.8,4,100,3,3
Adj_R2,96.1,4,100,3,3
MeanActual,5.56,4,100,3,3
MeanPredicted,5.54,4,100,3,3
StDevActual,1.1,4,100,3,3
StDevPredicted,1.04,4,100,3,3
N_Obs,141,4,100,3,3
N_Params,27,4,100,3,3
MAE,0.14,4,100,3,4
RMSE,0.19,4,100,3,4
MAE_PctOfMean,2.49,4,100,3,4
RMSE_PctOfMean,3.46,4,100,3,4
MAPE,2.84,4,100,3,4
Adj_R2,96.17,4,100,3,4
MeanActual,5.56,4,100,3,4
MeanPredicted,5.54,4,100,3,4
StDevActual,1.1,4,100,3,4
StDevPredicted,1.04,4,100,3,4
N_Obs,141,4,100,3,4
N_Params,27,4,100,3,4
MAE,0.13,4,100,3,5
RMSE,0.2,4,100,3,5
MAE_PctOfMean,2.41,4,100,3,5
RMSE_PctOfMean,3.54,4,100,3,5
MAPE,2.79,4,100,3,5
Adj_R2,95.99,4,100,3,5
MeanActual,5.56,4,100,3,5
MeanPredicted,5.55,4,100,3,5
StDevActual,1.1,4,100,3,5
StDevPredicted,1.05,4,100,3,5
N_Obs,141,4,100,3,5
N_Params,27,4,100,3,5
MAE,0.14,4,100,3,1
RMSE,0.19,4,100,3,1
MAE_PctOfMean,2.52,4,100,3,1
RMSE_PctOfMean,3.47,4,100,3,1
MAPE,2.92,4,100,3,1
Adj_R2,96.13,4,100,3,1
MeanActual,5.56,4,100,3,1
MeanPredicted,5.55,4,100,3,1
StDevActual,1.1,4,100,3,1
StDevPredicted,1.04,4,100,3,1
N_Obs,141,4,100,3,1
N_Params,27,4,100,3,1
MAE,0.13,4,100,3,2
RMSE,0.18,4,100,3,2
MAE_PctOfMean,2.37,4,100,3,2
RMSE_PctOfMean,3.28,4,100,3,2
MAPE,2.75,4,100,3,2
Adj_R2,96.56,4,100,3,2
MeanActual,5.56,4,100,3,2
MeanPredicted,5.55,4,100,3,2
StDevActual,1.1,4,100,3,2
StDevPredicted,1.04,4,100,3,2
N_Obs,141,4,100,3,2
N_Params,27,4,100,3,2
MAE,0.14,4,100,3,3
RMSE,0.19,4,100,3,3
MAE_PctOfMean,2.45,4,100,3,3
RMSE_PctOfMean,3.4,4,100,3,3
MAPE,2.85,4,100,3,3
Adj_R2,96.29,4,100,3,3
MeanActual,5.56,4,100,3,3
MeanPredicted,5.55,4,100,3,3
StDevActual,1.1,4,100,3,3
StDevPredicted,1.04,4,100,3,3
N_Obs,141,4,100,3,3
N_Params,27,4,100,3,3
MAE,0.15,4,100,3,4
RMSE,0.21,4,100,3,4
MAE_PctOfMean,2.69,4,100,3,4
RMSE_PctOfMean,3.72,4,100,3,4
MAPE,3.07,4,100,3,4
Adj_R2,95.56,4,100,3,4
MeanActual,5.56,4,100,3,4
MeanPredicted,5.54,4,100,3,4
StDevActual,1.1,4,100,3,4
StDevPredicted,1.03,4,100,3,4
N_Obs,141,4,100,3,4
N_Params,27,4,100,3,4
MAE,0.14,4,100,3,5
RMSE,0.2,4,100,3,5
MAE_PctOfMean,2.52,4,100,3,5
RMSE_PctOfMean,3.61,4,100,3,5
MAPE,2.91,4,100,3,5
Adj_R2,95.83,4,100,3,5
MeanActual,5.56,4,100,3,5
MeanPredicted,5.55,4,100,3,5
StDevActual,1.1,4,100,3,5
StDevPredicted,1.04,4,100,3,5
N_Obs,141,4,100,3,5
N_Params,27,4,100,3,5
MAE,0.14,3,100,3,1
RMSE,0.2,3,100,3,1
MAE_PctOfMean,2.52,3,100,3,1
RMSE_PctOfMean,3.51,3,100,3,1
MAPE,2.87,3,100,3,1
Adj_R2,96.05,3,100,3,1
MeanActual,5.56,3,100,3,1
MeanPredicted,5.54,3,100,3,1
StDevActual,1.1,3,100,3,1
StDevPredicted,1.04,3,100,3,1
N_Obs,141,3,100,3,1
N_Params,27,3,100,3,1
MAE,0.15,3,100,3,2
RMSE,0.21,3,100,3,2
MAE_PctOfMean,2.63,3,100,3,2
RMSE_PctOfMean,3.73,3,100,3,2
MAPE,3.05,3,100,3,2
Adj_R2,95.55,3,100,3,2
MeanActual,5.56,3,100,3,2
MeanPredicted,5.55,3,100,3,2
StDevActual,1.1,3,100,3,2
StDevPredicted,1.03,3,100,3,2
N_Obs,141,3,100,3,2
N_Params,27,3,100,3,2
MAE,0.14,3,100,3,3
RMSE,0.2,3,100,3,3
MAE_PctOfMean,2.58,3,100,3,3
RMSE_PctOfMean,3.53,3,100,3,3
MAPE,2.96,3,100,3,3
Adj_R2,96.01,3,100,3,3
MeanActual,5.56,3,100,3,3
MeanPredicted,5.54,3,100,3,3
StDevActual,1.1,3,100,3,3
StDevPredicted,1.04,3,100,3,3
N_Obs,141,3,100,3,3
N_Params,27,3,100,3,3
MAE,0.14,3,100,3,4
RMSE,0.19,3,100,3,4
MAE_PctOfMean,2.52,3,100,3,4
RMSE_PctOfMean,3.45,3,100,3,4
MAPE,2.9,3,100,3,4
Adj_R2,96.19,3,100,3,4
MeanActual,5.56,3,100,3,4
MeanPredicted,5.54,3,100,3,4
StDevActual,1.1,3,100,3,4
StDevPredicted,1.03,3,100,3,4
N_Obs,141,3,100,3,4
N_Params,27,3,100,3,4
MAE,0.15,3,100,3,5
RMSE,0.21,3,100,3,5
MAE_PctOfMean,2.77,3,100,3,5
RMSE_PctOfMean,3.77,3,100,3,5
MAPE,3.19,3,100,3,5
Adj_R2,95.46,3,100,3,5
MeanActual,5.56,3,100,3,5
MeanPredicted,5.54,3,100,3,5
StDevActual,1.1,3,100,3,5
StDevPredicted,1.02,3,100,3,5
N_Obs,141,3,100,3,5
N_Params,27,3,100,3,5
MAE,0.14,14,500,3,1
RMSE,0.2,14,500,3,1
MAE_PctOfMean,2.47,14,500,3,1
RMSE_PctOfMean,3.59,14,500,3,1
MAPE,2.87,14,500,3,1
Adj_R2,95.87,14,500,3,1
MeanActual,5.56,14,500,3,1
MeanPredicted,5.56,14,500,3,1
StDevActual,1.1,14,500,3,1
StDevPredicted,1.06,14,500,3,1
N_Obs,141,14,500,3,1
N_Params,27,14,500,3,1
MAE,0.14,14,500,3,2
RMSE,0.2,14,500,3,2
MAE_PctOfMean,2.45,14,500,3,2
RMSE_PctOfMean,3.51,14,500,3,2
MAPE,2.85,14,500,3,2
Adj_R2,96.05,14,500,3,2
MeanActual,5.56,14,500,3,2
MeanPredicted,5.56,14,500,3,2
StDevActual,1.1,14,500,3,2
StDevPredicted,1.06,14,500,3,2
N_Obs,141,14,500,3,2
N_Params,27,14,500,3,2
MAE,0.14,14,500,3,3
RMSE,0.2,14,500,3,3
MAE_PctOfMean,2.43,14,500,3,3
RMSE_PctOfMean,3.55,14,500,3,3
MAPE,2.85,14,500,3,3
Adj_R2,95.95,14,500,3,3
MeanActual,5.56,14,500,3,3
MeanPredicted,5.56,14,500,3,3
StDevActual,1.1,14,500,3,3
StDevPredicted,1.05,14,500,3,3
N_Obs,141,14,500,3,3
N_Params,27,14,500,3,3
MAE,0.13,14,500,3,4
RMSE,0.19,14,500,3,4
MAE_PctOfMean,2.4,14,500,3,4
RMSE_PctOfMean,3.44,14,500,3,4
MAPE,2.78,14,500,3,4
Adj_R2,96.21,14,500,3,4
MeanActual,5.56,14,500,3,4
MeanPredicted,5.56,14,500,3,4
StDevActual,1.1,14,500,3,4
StDevPredicted,1.06,14,500,3,4
N_Obs,141,14,500,3,4
N_Params,27,14,500,3,4
MAE,0.13,14,500,3,5
RMSE,0.19,14,500,3,5
MAE_PctOfMean,2.37,14,500,3,5
RMSE_PctOfMean,3.4,14,500,3,5
MAPE,2.76,14,500,3,5
Adj_R2,96.31,14,500,3,5
MeanActual,5.56,14,500,3,5
MeanPredicted,5.56,14,500,3,5
StDevActual,1.1,14,500,3,5
StDevPredicted,1.06,14,500,3,5
N_Obs,141,14,500,3,5
N_Params,27,14,500,3,5
MAE,0.13,9,500,3,1
RMSE,0.19,9,500,3,1
MAE_PctOfMean,2.37,9,500,3,1
RMSE_PctOfMean,3.4,9,500,3,1
MAPE,2.76,9,500,3,1
Adj_R2,96.3,9,500,3,1
MeanActual,5.56,9,500,3,1
MeanPredicted,5.56,9,500,3,1
StDevActual,1.1,9,500,3,1
StDevPredicted,1.05,9,500,3,1
N_Obs,141,9,500,3,1
N_Params,27,9,500,3,1
MAE,0.13,9,500,3,2
RMSE,0.19,9,500,3,2
MAE_PctOfMean,2.38,9,500,3,2
RMSE_PctOfMean,3.37,9,500,3,2
MAPE,2.74,9,500,3,2
Adj_R2,96.37,9,500,3,2
MeanActual,5.56,9,500,3,2
MeanPredicted,5.56,9,500,3,2
StDevActual,1.1,9,500,3,2
StDevPredicted,1.05,9,500,3,2
N_Obs,141,9,500,3,2
N_Params,27,9,500,3,2
MAE,0.13,9,500,3,3
RMSE,0.19,9,500,3,3
MAE_PctOfMean,2.37,9,500,3,3
RMSE_PctOfMean,3.34,9,500,3,3
MAPE,2.73,9,500,3,3
Adj_R2,96.42,9,500,3,3
MeanActual,5.56,9,500,3,3
MeanPredicted,5.55,9,500,3,3
StDevActual,1.1,9,500,3,3
StDevPredicted,1.05,9,500,3,3
N_Obs,141,9,500,3,3
N_Params,27,9,500,3,3
MAE,0.13,9,500,3,4
RMSE,0.19,9,500,3,4
MAE_PctOfMean,2.41,9,500,3,4
RMSE_PctOfMean,3.45,9,500,3,4
MAPE,2.8,9,500,3,4
Adj_R2,96.18,9,500,3,4
MeanActual,5.56,9,500,3,4
MeanPredicted,5.55,9,500,3,4
StDevActual,1.1,9,500,3,4
StDevPredicted,1.05,9,500,3,4
N_Obs,141,9,500,3,4
N_Params,27,9,500,3,4
MAE,0.13,9,500,3,5
RMSE,0.19,9,500,3,5
MAE_PctOfMean,2.4,9,500,3,5
RMSE_PctOfMean,3.33,9,500,3,5
MAPE,2.75,9,500,3,5
Adj_R2,96.45,9,500,3,5
MeanActual,5.56,9,500,3,5
MeanPredicted,5.55,9,500,3,5
StDevActual,1.1,9,500,3,5
StDevPredicted,1.06,9,500,3,5
N_Obs,141,9,500,3,5
N_Params,27,9,500,3,5
MAE,0.13,7,500,3,1
RMSE,0.19,7,500,3,1
MAE_PctOfMean,2.4,7,500,3,1
RMSE_PctOfMean,3.35,7,500,3,1
MAPE,2.77,7,500,3,1
Adj_R2,96.4,7,500,3,1
MeanActual,5.56,7,500,3,1
MeanPredicted,5.55,7,500,3,1
StDevActual,1.1,7,500,3,1
StDevPredicted,1.05,7,500,3,1
N_Obs,141,7,500,3,1
N_Params,27,7,500,3,1
MAE,0.13,7,500,3,2
RMSE,0.19,7,500,3,2
MAE_PctOfMean,2.35,7,500,3,2
RMSE_PctOfMean,3.35,7,500,3,2
MAPE,2.73,7,500,3,2
Adj_R2,96.41,7,500,3,2
MeanActual,5.56,7,500,3,2
MeanPredicted,5.56,7,500,3,2
StDevActual,1.1,7,500,3,2
StDevPredicted,1.05,7,500,3,2
N_Obs,141,7,500,3,2
N_Params,27,7,500,3,2
MAE,0.13,7,500,3,3
RMSE,0.19,7,500,3,3
MAE_PctOfMean,2.37,7,500,3,3
RMSE_PctOfMean,3.41,7,500,3,3
MAPE,2.74,7,500,3,3
Adj_R2,96.28,7,500,3,3
MeanActual,5.56,7,500,3,3
MeanPredicted,5.55,7,500,3,3
StDevActual,1.1,7,500,3,3
StDevPredicted,1.05,7,500,3,3
N_Obs,141,7,500,3,3
N_Params,27,7,500,3,3
MAE,0.13,7,500,3,4
RMSE,0.19,7,500,3,4
MAE_PctOfMean,2.39,7,500,3,4
RMSE_PctOfMean,3.38,7,500,3,4
MAPE,2.78,7,500,3,4
Adj_R2,96.34,7,500,3,4
MeanActual,5.56,7,500,3,4
MeanPredicted,5.56,7,500,3,4
StDevActual,1.1,7,500,3,4
StDevPredicted,1.05,7,500,3,4
N_Obs,141,7,500,3,4
N_Params,27,7,500,3,4
MAE,0.13,7,500,3,5
RMSE,0.19,7,500,3,5
MAE_PctOfMean,2.37,7,500,3,5
RMSE_PctOfMean,3.38,7,500,3,5
MAPE,2.75,7,500,3,5
Adj_R2,96.34,7,500,3,5
MeanActual,5.56,7,500,3,5
MeanPredicted,5.56,7,500,3,5
StDevActual,1.1,7,500,3,5
StDevPredicted,1.05,7,500,3,5
N_Obs,141,7,500,3,5
N_Params,27,7,500,3,5
MAE,0.14,5,500,3,1
RMSE,0.19,5,500,3,1
MAE_PctOfMean,2.45,5,500,3,1
RMSE_PctOfMean,3.39,5,500,3,1
MAPE,2.83,5,500,3,1
Adj_R2,96.33,5,500,3,1
MeanActual,5.56,5,500,3,1
MeanPredicted,5.55,5,500,3,1
StDevActual,1.1,5,500,3,1
StDevPredicted,1.04,5,500,3,1
N_Obs,141,5,500,3,1
N_Params,27,5,500,3,1
MAE,0.14,5,500,3,2
RMSE,0.19,5,500,3,2
MAE_PctOfMean,2.44,5,500,3,2
RMSE_PctOfMean,3.47,5,500,3,2
MAPE,2.84,5,500,3,2
Adj_R2,96.15,5,500,3,2
MeanActual,5.56,5,500,3,2
MeanPredicted,5.55,5,500,3,2
StDevActual,1.1,5,500,3,2
StDevPredicted,1.04,5,500,3,2
N_Obs,141,5,500,3,2
N_Params,27,5,500,3,2
MAE,0.14,5,500,3,3
RMSE,0.19,5,500,3,3
MAE_PctOfMean,2.43,5,500,3,3
RMSE_PctOfMean,3.38,5,500,3,3
MAPE,2.81,5,500,3,3
Adj_R2,96.35,5,500,3,3
MeanActual,5.56,5,500,3,3
MeanPredicted,5.55,5,500,3,3
StDevActual,1.1,5,500,3,3
StDevPredicted,1.04,5,500,3,3
N_Obs,141,5,500,3,3
N_Params,27,5,500,3,3
MAE,0.14,5,500,3,4
RMSE,0.19,5,500,3,4
MAE_PctOfMean,2.45,5,500,3,4
RMSE_PctOfMean,3.4,5,500,3,4
MAPE,2.82,5,500,3,4
Adj_R2,96.3,5,500,3,4
MeanActual,5.56,5,500,3,4
MeanPredicted,5.55,5,500,3,4
StDevActual,1.1,5,500,3,4
StDevPredicted,1.04,5,500,3,4
N_Obs,141,5,500,3,4
N_Params,27,5,500,3,4
MAE,0.14,5,500,3,5
RMSE,0.19,5,500,3,5
MAE_PctOfMean,2.43,5,500,3,5
RMSE_PctOfMean,3.4,5,500,3,5
MAPE,2.8,5,500,3,5
Adj_R2,96.3,5,500,3,5
MeanActual,5.56,5,500,3,5
MeanPredicted,5.55,5,500,3,5
StDevActual,1.1,5,500,3,5
StDevPredicted,1.05,5,500,3,5
N_Obs,141,5,500,3,5
N_Params,27,5,500,3,5
MAE,0.13,4,500,3,1
RMSE,0.19,4,500,3,1
MAE_PctOfMean,2.4,4,500,3,1
RMSE_PctOfMean,3.37,4,500,3,1
MAPE,2.76,4,500,3,1
Adj_R2,96.37,4,500,3,1
MeanActual,5.56,4,500,3,1
MeanPredicted,5.54,4,500,3,1
StDevActual,1.1,4,500,3,1
StDevPredicted,1.04,4,500,3,1
N_Obs,141,4,500,3,1
N_Params,27,4,500,3,1
MAE,0.14,4,500,3,2
RMSE,0.19,4,500,3,2
MAE_PctOfMean,2.45,4,500,3,2
RMSE_PctOfMean,3.49,4,500,3,2
MAPE,2.84,4,500,3,2
Adj_R2,96.09,4,500,3,2
MeanActual,5.56,4,500,3,2
MeanPredicted,5.55,4,500,3,2
StDevActual,1.1,4,500,3,2
StDevPredicted,1.04,4,500,3,2
N_Obs,141,4,500,3,2
N_Params,27,4,500,3,2
MAE,0.13,4,500,3,3
RMSE,0.19,4,500,3,3
MAE_PctOfMean,2.42,4,500,3,3
RMSE_PctOfMean,3.39,4,500,3,3
MAPE,2.78,4,500,3,3
Adj_R2,96.33,4,500,3,3
MeanActual,5.56,4,500,3,3
MeanPredicted,5.54,4,500,3,3
StDevActual,1.1,4,500,3,3
StDevPredicted,1.04,4,500,3,3
N_Obs,141,4,500,3,3
N_Params,27,4,500,3,3
MAE,0.14,4,500,3,4
RMSE,0.19,4,500,3,4
MAE_PctOfMean,2.46,4,500,3,4
RMSE_PctOfMean,3.42,4,500,3,4
MAPE,2.82,4,500,3,4
Adj_R2,96.26,4,500,3,4
MeanActual,5.56,4,500,3,4
MeanPredicted,5.54,4,500,3,4
StDevActual,1.1,4,500,3,4
StDevPredicted,1.04,4,500,3,4
N_Obs,141,4,500,3,4
N_Params,27,4,500,3,4
MAE,0.14,4,500,3,5
RMSE,0.2,4,500,3,5
MAE_PctOfMean,2.48,4,500,3,5
RMSE_PctOfMean,3.51,4,500,3,5
MAPE,2.87,4,500,3,5
Adj_R2,96.05,4,500,3,5
MeanActual,5.56,4,500,3,5
MeanPredicted,5.55,4,500,3,5
StDevActual,1.1,4,500,3,5
StDevPredicted,1.04,4,500,3,5
N_Obs,141,4,500,3,5
N_Params,27,4,500,3,5
MAE,0.14,4,500,3,1
RMSE,0.19,4,500,3,1
MAE_PctOfMean,2.5,4,500,3,1
RMSE_PctOfMean,3.49,4,500,3,1
MAPE,2.89,4,500,3,1
Adj_R2,96.1,4,500,3,1
MeanActual,5.56,4,500,3,1
MeanPredicted,5.54,4,500,3,1
StDevActual,1.1,4,500,3,1
StDevPredicted,1.04,4,500,3,1
N_Obs,141,4,500,3,1
N_Params,27,4,500,3,1
MAE,0.14,4,500,3,2
RMSE,0.19,4,500,3,2
MAE_PctOfMean,2.47,4,500,3,2
RMSE_PctOfMean,3.42,4,500,3,2
MAPE,2.85,4,500,3,2
Adj_R2,96.25,4,500,3,2
MeanActual,5.56,4,500,3,2
MeanPredicted,5.55,4,500,3,2
StDevActual,1.1,4,500,3,2
StDevPredicted,1.04,4,500,3,2
N_Obs,141,4,500,3,2
N_Params,27,4,500,3,2
MAE,0.13,4,500,3,3
RMSE,0.19,4,500,3,3
MAE_PctOfMean,2.42,4,500,3,3
RMSE_PctOfMean,3.41,4,500,3,3
MAPE,2.8,4,500,3,3
Adj_R2,96.28,4,500,3,3
MeanActual,5.56,4,500,3,3
MeanPredicted,5.55,4,500,3,3
